Customer_ID,Monthly_Bill,Call_Drop_Rate,Internet_Speed_Mbps,Customer_Service_Rating,Churn
CUST1000,1426.0,,88.9,1.0,Yes
CUST1001,1160.0,13.85,4.7,,Yes
CUST1002,1430.0,5.39,58.7,2.0,Yes
CUST1003,1395.0,4.88,45.0,4.0,Yes
CUST1004,1344.0,,67.9,1.0,Yes
CUST1005,421.0,4.38,34.2,5.0,No
CUST1006,766.0,11.16,17.2,5.0,Yes
CUST1007,,8.08,98.2,2.0,Yes
CUST1008,,1.3,84.2,1.0,Yes
CUST1009,1423.0,5.08,86.3,2.0,Yes
CUST1010,1171.0,4.94,26.5,3.0,Yes
CUST1011,430.0,13.93,5.8,2.0,Yes
CUST1012,1069.0,14.25,31.7,2.0,Yes
CUST1013,643.0,2.96,54.6,5.0,No
CUST1014,1105.0,19.95,34.0,5.0,Yes
CUST1015,685.0,5.34,83.1,5.0,No
CUST1016,1255.0,19.53,28.6,3.0,Yes
CUST1017,576.0,8.22,96.6,5.0,No
CUST1018,,,,,Yes
CUST1019,759.0,6.9,84.5,4.0,Yes
CUST1020,321.0,12.69,21.0,1.0,Yes
CUST1021,552.0,13.61,42.3,1.0,Yes
CUST1022,1047.0,10.62,70.6,5.0,Yes
CUST1023,1156.0,8.96,15.6,4.0,Yes
CUST1024,774.0,11.06,15.0,4.0,Yes
CUST1025,1382.0,11.85,97.0,4.0,Yes
CUST1026,810.0,1.62,72.0,3.0,No
CUST1027,999.0,7.39,6.0,5.0,Yes
CUST1028,1275.0,4.84,41.1,4.0,Yes
CUST1029,489.0,16.06,44.5,3.0,Yes
CUST1030,1257.0,9.41,74.9,2.0,Yes
CUST1031,,,,,Yes
CUST1032,1257.0,7.98,20.1,3.0,Yes
CUST1033,862.0,16.33,9.9,3.0,Yes
CUST1034,1131.0,15.97,44.0,5.0,Yes
CUST1035,1454.0,3.01,69.5,5.0,No
CUST1036,946.0,10.16,7.7,2.0,Yes
CUST1037,320.0,13.92,91.7,4.0,Yes
CUST1038,1140.0,17.17,45.4,2.0,Yes
CUST1039,466.0,6.52,25.5,4.0,Yes
CUST1040,687.0,4.4,11.2,4.0,Yes
CUST1041,900.0,14.22,19.9,5.0,Yes
CUST1042,615.0,16.19,93.6,1.0,Yes
CUST1043,313.0,6.97,64.6,1.0,Yes
CUST1044,541.0,1.92,52.6,3.0,Yes
CUST1045,1076.0,18.81,66.4,5.0,Yes
CUST1046,864.0,7.95,44.7,4.0,Yes
CUST1047,1197.0,10.36,73.5,1.0,Yes
